category,title,rating,version,review_count,downloads,age_suitability,updated_on,ads
ART_AND_DESIGN,Mens Hairstyles And Haircuts,"3.2
star",3.0.350,1.5K reviews,1M+,Rated for 3+,,Contains ads
ART_AND_DESIGN,ibis Paint X,"4.6
star",12.2.13,2.67M reviews,100M+,Rated for 3+,,Contains ads
ART_AND_DESIGN,DaVinci - AI Image Generator,"4.1
star",3.8.5,167K reviews,5M+,Rated for 7+,,Contains ads
ART_AND_DESIGN,MindSync: AI Photo Editor,"4.3
star",1.8.0,16.7K reviews,10M+,Rated for 3+,,Contains ads
